Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C301,C702,C703,C705,C711,C713,C714,C715,C716,C717,C801,C802,C803,C804,C805,C806,C807,C808,C809,C810,C812,C813,C815,C819,C820,C821,C822,C901,C902,C903,C904,C905,C906,C907,C908,C909,C911,C912,C913,C914,C916",C_0201_Dense,C915760,41
0R,R813,R_0201_Dense,C6491732,1
100k,R909,R_0201_Dense,C226394,1
1uF,"C814,C817,C818",C_0201_Dense,C335102,3
22uF,"C701,C704,C706,C707,C708,C709,C710,C811,C816",C_0603_Dense,C29519229,9
26k1,"R801,R802,R803,R804",R_0201_Dense,C910625,4
33R,"R702,R807,R808,R809,R810,R812,R901,R902,R903,R906,R910,R911,R915,R916",R_0201_Dense,C226514,14
4.7nF,"C910,C915",C_0201_Dense,C85933,2
40MHz,Y701,Oscillator_SMD_Abracon_ASAAIG-4Pin_2.0x1.6mm,C1852570,1
470R,"R703,R806",R_0201_Dense,C226558,2
5k1,"R301,R302,R701,R704,R805,R811,R904,R905,R907,R908,R912,R913,R914,R917,R918",R_0201_Dense,C226588,15
74LV1T125,"U702,U801,U802,U803,U804,U805,U901,U902,U904,U905,U906,U907",X2SON5_SOT1226_0.8x0.8mm,C547939,12
CMC 0805,CMC701,CMC_0805,C448605,1
D15V0H1U2LP-7B,"D704,D802,D805,D808,D811,D814,D905,D906,D907,D910,D911,D915,D916",DFN1006-2,C1973850,13
ES7241D,U806,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,C389154,1
NTLJS17D0P03P8Z,Q901,WDFN6-4_2.05x2.05mm_P0.65mm,C604410,1
PMEG4002ESFYL,"D701,D801,D803,D804,D806,D807,D809,D810,D812,D813,D901,D902,D903,D904,D908,D909,D912,D913,D914",DFN0603-2,C22435168,19
SZESD7241N2T5G,"D702,D703,D815,D816",DFN1006-2,C604770,4
TCAN4550-Q1,U701,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,C2876736,1
TPS2HCS10A-Q1,U903,Texas_HTSSOP-16-1EP_5.0x4.4mm_P0.65mm_EP5.0x3.4mm_Mask3.313x2.78mm,C22454438,1
SM32B-NSHDZS-1-TF,CN302,JST_NSHD_SM32B-NSHD_2x16_P1.0mm_Horizontal_SMD,,1
SM32B-NSHDZS-1-TF,CN301,JST_NSHD_SM32B-NSHD_2x16_P1.0mm_Horizontal_SMD,,1
